问题,关键字,相似问,答案
网络连接正常，所有网页无法访问,"网页打不开,无法访问,网页无法访问",你好 电脑带回家之后连不上kit了，显示网络异常|我的网络连接正常但是网页打不开|连上网网页打不开啊|连上网了Kim提示当前网络不可用|连上网了网页打不开|恢复DNS地址|我想问下我的kim为什么用不了我家的无线网络|我在家电脑登陆kim和kit但是一直显示网络问题|无线网正常连接了，但无法打开网页|链接点不进去怎么回事|打不开网页|网络正常连接但是网页打不开|网络正常但是网页打不开|连着网但是网页打不开|网页打不开|连网了为什么网页打不开呀|联网了为什么网页打不开呀,"<font color=""orange"">**亲爱的同学好~**</font>
在网络连接正常且获取到正确的 IP 地址后无法访问所有网页或 Kim 提示网络不可用的问题主要是由于错误的DNS解析地址导致，请[点击这里](https://docs.corp.kuaishou.com/k/home/VTGf4tkIeqd0/fcAArCGVnlfnetv0Wsy3NYH7S)查看解决方案。"
团组织关系转接,"团组织,团关系",团组织关系|团组织关系怎么转|我们这个单位有团组织吗|团员关系转接|咱们公司有团组织吗,"<font color=""orange"">**亲爱的同学好~**</font>

团组织关系转接您可以查看该文档：[团组织关系转接事宜](https://docs.corp.kuaishou.com/d/home/fcABhigKgHplCx-VRYTDaWzAy)；

Kimi温馨提示：如未能解决您的问题请点此处联系[HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)获取帮助。"
天策平台的网址、帮助文档,天策,天策里指标取数|天策平台是什么|天策平台使用手册|天策平台网址,"<font color=""orange"">**亲爱的同学好~**</font>
天策平台集成了公司所有业务数据门户，全力帮助您快速找到所需要的数据。
天策平台的地址请[点击这里](https://tc.corp.kuaishou.com)；
天策平台的帮助文档可以参考[天策帮助手册](https://docs.corp.kuaishou.com/k/home/VAe4cXIGe0dU/fcAALxULl8ADIIE6oYWvP56Ba)；
其他问题可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671695375764750.png)"
申请远程离职电脑如何归还,"远程离职,远程归还",您好请问离职 归还公司的电脑是不是不能邮寄回来呀|离职邮寄电脑可以使用顺丰速运嘛|深圳职场的固定资产收货地址填写哪里|离职远程邮寄电脑|请问 我7.2号远程离职 然后7.2晚上邮寄电脑 符合规定吗|离职，资产邮寄哪里|我帮已经离职的同事问一下我们邮寄电脑的地址和收件人是什么|现场办理离职电脑归还到哪里|离职怎么归还电脑资产|您好～远程离职今天才能寄出电脑 it流程要怎么走呢|线上办理离职电脑怎么邮寄|远程离职|寄回电脑能发一下咱们的邮寄地址吗|电脑邮寄归还地址写哪里|邮寄电脑归还信息哪里同步|远程办公的，现在电脑不用了，设备怎么邮寄回去|归还电脑可以邮寄哪些快递|远程归还电脑邮寄费用怎么处理|我不在公司怎么还电脑呐|办理远程离职，电脑寄送给谁|远程离职怎么申请|申请远程离职电脑如何归还|请问我想远程归还电脑。之前在北京,"<font color=""orange"">**亲爱的同学好~**</font>
如您已申请远程离职，归还资产时请将资产与相关配件（电源线、鼠标、转接头等）成套寄回归还，寄出时请进行保价，快递选择顺丰到付。详情可点击 [这里](https://docs.corp.kuaishou.com/d/home/fcACamGlCnbATDM2SetkA72lw)查看哦~
资产同学将在收到设备后移交 IT 检测并退库。"
校招实习生正式入职，电脑会更换吗,"校招转正式,实习生转正,转正入职",校招实习拿到双证后转为正式入职后，电脑需要换吗,"<font color=""orange"">**亲爱的同学好~**</font>
实习生转正时可以到IT服务台更换设备，但是需要归还之前使用的电脑，同时工卡的能量券也是一样的，涉及离职会清空，可以在离职前消费。
**Kimi温馨提示**：
入职问题如还有疑问可以点击 [HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 获取帮助；
工卡、能量券详情问题可以咨询 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-1295964-pglozEXLO9IZB7du13aROKRrHOU-ksssogray)。"
公司有医务室吗,"健康小屋,药品,药物,领药,药,医务室",有布洛芬吗|万家灯火大厦办公区有体重秤嘛|爱心小屋几点开门|便秘怎么办|健康咨询师|请问工区哪里有速效救心丸吗|请问工区哪里有速效救心丸|我感觉自己发烧了|我好像发烧了|感觉自己发烧了|公司可以领取抗原吗|公司能领抗原吗|元中心有医务室吗|健康小屋工作时间|健康小屋有感冒冲剂嘛|元中心健康小屋|万家灯火健康小屋|万家灯火医务室|元中心医务室|领药|药物|健康小屋,"<font color=""orange"">**亲爱的同学好~**</font>
如您需要药物等，请联系健康小屋进行咨询，健康小屋的工作时间为【每周一至周五 9:30~20:00（节假日除外）】，在此时间内可以KIM搜索或点击跳转：
- 元中心：联系<@=username(healthcenter-d)=>或<@=username(healthcenter)=>；
- 万家灯火：联系<@=username(healthcenter-d01)=>或<@=username(healthcenter01)=>。
更多问题请您联系 [HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 反馈咨询。"
如何找人工,人工,"你好,需要人工咨询,谢谢啦|是人工吗|提 bug|提需求|bug反馈|rengong|反馈问题|怎样找兜底|我怎么找兜底|我想找兜底","<font color=""orange"">**亲爱的同学好~**</font>
如需人工服务请点击 [呼叫人工](kim://send?type=text&content=人工)。"
非标资源位具体介绍,非标资源位,S级活动能用哪些资源位,"<font color=""orange"">**亲爱的同学好~**</font>
请查看：[流量中台非标资源位投放白皮书](https://docs.corp.kuaishou.com/d/home/fcACyxYwyXfaty6QFa8m_6WLP#section=h.is6dzhqz2cki)，
包含全部非标资源位的展示位置、评级要求、申请规则等。"
已经拥有了git相关的权限，使用kdev的话需要单独再申请权限吗,"git权限,kdev权限",已经拥有了git相关的权限，使用kdev的话是否需要单独再申请权限|KDev是否已经和Git打通| 已经拥有了git相关的权限，使用kdev的话需要单独再申请权限吗,"<font color=""orange"">**亲爱的同学好~**</font>
1. **KDev已经与Git打通，资源和权限都已同步，无需单独申请**；
2.  在KDev或者Git里添加成员、创建仓库和团队，平台间会互相同步，无需两个平台都设置。"
退货补运费的手续费是多少,退货补运费手续费,退货补运费手续费是多少|退货补运费手续费,"<font color=""orange"">**亲爱的同学好~**</font>
退货补运费会产生1%的手续费。"
